"","id","x","y"
"190",190,338800.1531,8119217.459
"191",191,338801.0925,8119216.519
"192",192,338801.0925,8119216.519
"193",193,338802.0319,8119215.58
"194",194,338802.0319,8119215.58
"195",195,338802.9713,8119214.641
"196",196,338802.9713,8119214.641
"197",197,338803.9106,8119213.701
"198",198,338803.9106,8119213.701
"199",199,338804.85,8119212.762
"200",200,338804.85,8119212.762
"201",201,338805.7894,8119211.822
"202",202,338805.7894,8119211.822
"203",203,338806.7288,8119210.883
"204",204,338806.7288,8119210.883
"205",205,338807.6682,8119209.944
"206",206,338807.6682,8119209.944
"207",207,338808.6075,8119209.004
"208",208,338808.6075,8119209.004
"209",209,338809.5469,8119208.065
"210",210,338809.5469,8119208.065
"211",211,338810.4863,8119207.126
"212",212,338810.4863,8119207.126
"213",213,338811.4257,8119206.186
"214",214,338811.4257,8119206.186
"215",215,338812.365,8119205.247
"216",216,338812.365,8119205.247
"217",217,338813.3044,8119204.307
"218",218,338813.3044,8119204.307
"219",219,338814.2438,8119203.368
"220",220,338814.2438,8119203.368
"221",221,338815.1832,8119202.429
"222",222,338815.1832,8119202.429
"223",223,338816.1225,8119201.489
"224",224,338816.1225,8119201.489
"225",225,338817.0619,8119200.55
"226",226,338817.0619,8119200.55
"227",227,338818.0013,8119199.611
"228",228,338818.0013,8119199.611
"229",229,338818.9407,8119198.671
"230",230,338818.9407,8119198.671
"231",231,338819.88,8119197.732
"232",232,338819.88,8119197.732
"233",233,338820.8194,8119196.792
"234",234,338820.8194,8119196.792
"235",235,338821.7588,8119195.853
"236",236,338821.7588,8119195.853
"237",237,338822.6982,8119194.914
"238",238,338822.6982,8119194.914
"239",239,338823.6375,8119193.974
"240",240,338823.6375,8119193.974
"241",241,338824.5769,8119193.035
"242",242,338824.5769,8119193.035
"243",243,338825.5163,8119192.096
"244",244,338825.5163,8119192.096
"245",245,338826.4557,8119191.156
"246",246,338826.4557,8119191.156
"247",247,338827.3951,8119190.217
"248",248,338827.3951,8119190.217
"249",249,338828.3344,8119189.277
"250",250,338828.3344,8119189.277
"251",251,338829.2738,8119188.338
"252",252,338829.2738,8119188.338
"253",253,338830.2132,8119187.399
"254",254,338830.2132,8119187.399
"255",255,338831.1526,8119186.459
"256",256,338831.1526,8119186.459
"257",257,338832.0919,8119185.52
"258",258,338832.0919,8119185.52
"259",259,338833.0313,8119184.581
"260",260,338833.0313,8119184.581
"261",261,338833.9707,8119183.641
"262",262,338833.9707,8119183.641
"263",263,338834.9101,8119182.702
"264",264,338834.9101,8119182.702
"265",265,338835.8494,8119181.762
"266",266,338835.8494,8119181.762
"267",267,338836.7888,8119180.823
"268",268,338836.7888,8119180.823
"269",269,338837.7282,8119179.884
"270",270,338837.7282,8119179.884
"271",271,338838.6676,8119178.944
"272",272,338838.6676,8119178.944
"273",273,338839.6069,8119178.005
"274",274,338839.6069,8119178.005
"275",275,338840.5463,8119177.066
"276",276,338840.5463,8119177.066
"277",277,338841.4857,8119176.126
"278",278,338841.4857,8119176.126
"279",279,338842.4251,8119175.187
"280",280,338842.4251,8119175.187
"281",281,338843.3645,8119174.247
"282",282,338843.3645,8119174.247
"283",283,338844.3038,8119173.308
"284",284,338844.3038,8119173.308
"285",285,338845.2432,8119172.369
"286",286,338845.2432,8119172.369
"287",287,338846.1826,8119171.429
"288",288,338846.1826,8119171.429
"289",289,338847.122,8119170.49
"290",290,338847.122,8119170.49
"291",291,338849.9401,8119169.55
"292",292,338849.9401,8119169.55
"293",293,338852.7582,8119168.611
"294",294,338852.7582,8119168.611
"295",295,338855.5763,8119167.672
"296",296,338855.5763,8119167.672
"297",297,338858.3945,8119166.732
"298",298,338858.3945,8119166.732
"299",299,338861.2126,8119165.793
"300",300,338861.2126,8119165.793
"301",301,338864.0307,8119164.854
"302",302,338864.0307,8119164.854
"303",303,338866.8489,8119163.914
"304",304,338866.8489,8119163.914
"305",305,338869.667,8119162.975
"306",306,338869.667,8119162.975
"307",307,338872.4851,8119162.035
"308",308,338872.4851,8119162.035
"309",309,338875.3033,8119161.096
"310",310,338875.3033,8119161.096
"311",311,338878.1214,8119160.157
"312",312,338878.1214,8119160.157
"313",313,338880.9395,8119159.217
"314",314,338880.9395,8119159.217
"315",315,338883.7576,8119158.278
"316",316,338883.7576,8119158.278
"317",317,338886.5758,8119157.339
"318",318,338886.5758,8119157.339
"319",319,338889.3939,8119156.399
"320",320,338889.3939,8119156.399
"321",321,338892.212,8119155.46
"322",322,338892.212,8119155.46
"323",323,338895.0302,8119154.52
"324",324,338895.0302,8119154.52
"325",325,338897.8483,8119153.581
"326",326,338897.8483,8119153.581
"327",327,338900.6664,8119152.642
"328",328,338900.6664,8119152.642
"329",329,338903.4845,8119151.702
"330",330,338903.4845,8119151.702
"331",331,338906.3027,8119150.763
"332",332,338906.3027,8119150.763
"333",333,338909.1208,8119149.824
"334",334,338909.1208,8119149.824
"335",335,338911.9389,8119148.884
"336",336,338911.9389,8119148.884
"337",337,338914.7571,8119147.945
"338",338,338914.7571,8119147.945
"339",339,338917.5752,8119147.005
"340",340,338917.5752,8119147.005
"341",341,338920.3933,8119146.066
"342",342,338920.3933,8119146.066
"343",343,338923.2114,8119145.127
"344",344,338923.2114,8119145.127
"345",345,338926.0296,8119144.187
"346",346,338926.0296,8119144.187
"347",347,338928.8477,8119143.248
"348",348,338928.8477,8119143.248
"349",349,338931.6658,8119142.309
"350",350,338931.6658,8119142.309
"351",351,338934.484,8119141.369
"352",352,338934.484,8119141.369
"353",353,338937.3021,8119140.43
"354",354,338937.3021,8119140.43
"355",355,338939.1808,8119139.49
"356",356,338939.1808,8119139.49
"357",357,338941.0596,8119138.551
"358",358,338941.0596,8119138.551
"359",359,338942.9384,8119137.612
"360",360,338942.9384,8119137.612
"361",361,338944.8171,8119136.672
"362",362,338944.8171,8119136.672
"363",363,338946.6959,8119135.733
"364",364,338946.6959,8119135.733
"365",365,338948.5746,8119134.794
"366",366,338948.5746,8119134.794
"367",367,338950.4534,8119133.854
"368",368,338950.4534,8119133.854
"369",369,338952.3321,8119132.915
"370",370,338952.3321,8119132.915
"371",371,338954.2109,8119131.975
"372",372,338954.2109,8119131.975
"373",373,338956.0896,8119131.036
"374",374,338956.0896,8119131.036
"375",375,338957.9684,8119130.097
"376",376,338957.9684,8119130.097
"377",377,338959.8471,8119129.157
"378",378,338959.8471,8119129.157
"379",379,338961.7259,8119128.218
"380",380,338961.7259,8119128.218
"381",381,338963.6046,8119127.279
"382",382,338963.6046,8119127.279
"383",383,338965.4834,8119126.339
"384",384,338965.4834,8119126.339
"385",385,338967.3621,8119125.4
"386",386,338967.3621,8119125.4
"387",387,338969.2409,8119124.46
"388",388,338969.2409,8119124.46
"389",389,338971.1196,8119123.521
"390",390,338971.1196,8119123.521
"391",391,338972.9984,8119122.582
"392",392,338972.9984,8119122.582
"393",393,338974.8771,8119121.642
"394",394,338974.8771,8119121.642
"395",395,338976.7559,8119120.703
"396",396,338976.7559,8119120.703
"397",397,338978.6347,8119119.764
"398",398,338978.6347,8119119.764
"399",399,338980.5134,8119118.824
"400",400,338980.5134,8119118.824
"401",401,338982.3922,8119117.885
"402",402,338982.3922,8119117.885
"403",403,338984.2709,8119116.945
"404",404,338984.2709,8119116.945
"405",405,338986.1497,8119116.006
"406",406,338986.1497,8119116.006
"407",407,338988.0284,8119115.067
"408",408,338988.0284,8119115.067
"409",409,338989.9072,8119114.127
"410",410,338989.9072,8119114.127
"411",411,338991.7859,8119113.188
"412",412,338991.7859,8119113.188
"413",413,338993.6647,8119112.249
"414",414,338993.6647,8119112.249
"415",415,338995.5434,8119111.309
"416",416,338995.5434,8119111.309
"417",417,338997.4222,8119110.37
"418",418,338997.4222,8119110.37
"419",419,338998.3616,8119109.43
"420",420,338998.3616,8119109.43
"421",421,338999.3009,8119108.491
"422",422,338999.3009,8119108.491
"423",423,339000.2403,8119107.552
"424",424,339000.2403,8119107.552
"425",425,339001.1797,8119106.612
"426",426,339001.1797,8119106.612
"427",427,339002.1191,8119105.673
"428",428,339002.1191,8119105.673
"429",429,339003.0584,8119104.734
"430",430,339003.0584,8119104.734
"431",431,339003.9978,8119103.794
"432",432,339003.9978,8119103.794
"433",433,339004.9372,8119102.855
"434",434,339004.9372,8119102.855
"435",435,339005.8766,8119101.915
"436",436,339005.8766,8119101.915
"437",437,339006.8159,8119100.976
"438",438,339006.8159,8119100.976
"439",439,339007.7553,8119100.037
"440",440,339007.7553,8119100.037
"441",441,339008.6947,8119099.097
"442",442,339008.6947,8119099.097
"443",443,339009.6341,8119098.158
"444",444,339009.6341,8119098.158
"445",445,339010.5734,8119097.219
"446",446,339010.5734,8119097.219
"447",447,339011.5128,8119096.279
"448",448,339011.5128,8119096.279
"449",449,339012.4522,8119095.34
"450",450,339012.4522,8119095.34
"451",451,339013.3916,8119094.4
"452",452,339013.3916,8119094.4
"453",453,339014.331,8119093.461
"454",454,339014.331,8119093.461
"455",455,339015.2703,8119092.522
"456",456,339015.2703,8119092.522
"457",457,339016.2097,8119091.582
"458",458,339016.2097,8119091.582
"459",459,339017.1491,8119090.643
"460",460,339017.1491,8119090.643
"461",461,339018.0885,8119089.704
"462",462,339018.0885,8119089.704
"463",463,339019.0278,8119088.764
"464",464,339019.0278,8119088.764
"465",465,339019.9672,8119087.825
"466",466,339019.9672,8119087.825
"467",467,339020.9066,8119086.885
"468",468,339020.9066,8119086.885
"469",469,339021.846,8119085.946
"470",470,339021.846,8119085.946
"471",471,339022.7853,8119085.007
"472",472,339022.7853,8119085.007
"473",473,339023.7247,8119084.067
"474",474,339023.7247,8119084.067
"475",475,339024.6641,8119083.128
"476",476,339024.6641,8119083.128
"477",477,339025.6035,8119082.188
"478",478,339025.6035,8119082.188
"479",479,339026.5428,8119081.249
"480",480,339026.5428,8119081.249
"481",481,339027.4822,8119080.31
"482",482,339027.4822,8119080.31
"483",483,339030.3004,8119079.37
"484",484,339030.3004,8119079.37
"485",485,339033.1185,8119078.431
"486",486,339033.1185,8119078.431
"487",487,339035.9366,8119077.492
"488",488,339035.9366,8119077.492
"489",489,339038.7547,8119076.552
"490",490,339038.7547,8119076.552
"491",491,339041.5729,8119075.613
"492",492,339041.5729,8119075.613
"493",493,339044.391,8119074.673
"494",494,339044.391,8119074.673
"495",495,339047.2091,8119073.734
"496",496,339047.2091,8119073.734
"497",497,339050.0273,8119072.795
"498",498,339050.0273,8119072.795
"499",499,339052.8454,8119071.855
"500",500,339052.8454,8119071.855
"501",501,339055.6635,8119070.916
"502",502,339055.6635,8119070.916
"503",503,339058.4816,8119069.977
"504",504,339058.4816,8119069.977
"505",505,339061.2998,8119069.037
"506",506,339061.2998,8119069.037
"507",507,339064.1179,8119068.098
"508",508,339064.1179,8119068.098
"509",509,339066.936,8119067.158
"510",510,339066.936,8119067.158
"511",511,339069.7542,8119066.219
"512",512,339069.7542,8119066.219
"513",513,339072.5723,8119065.28
"514",514,339072.5723,8119065.28
"515",515,339075.3904,8119064.34
"516",516,339075.3904,8119064.34
"517",517,339078.2085,8119063.401
"518",518,339078.2085,8119063.401
"519",519,339081.0267,8119062.462
"520",520,339081.0267,8119062.462
"521",521,339083.8448,8119061.522
"522",522,339083.8448,8119061.522
"523",523,339086.6629,8119060.583
"524",524,339086.6629,8119060.583
"525",525,339089.4811,8119059.643
"526",526,339089.4811,8119059.643
"527",527,339092.2992,8119058.704
"528",528,339092.2992,8119058.704
"529",529,339095.1173,8119057.765
"530",530,339095.1173,8119057.765
"531",531,339097.9355,8119056.825
"532",532,339097.9355,8119056.825
"533",533,339100.7536,8119055.886
"534",534,339100.7536,8119055.886
"535",535,339103.5717,8119054.947
"536",536,339103.5717,8119054.947
"537",537,339106.3898,8119054.007
"538",538,339106.3898,8119054.007
"539",539,339109.208,8119053.068
"540",540,339109.208,8119053.068
"541",541,339112.0261,8119052.128
"542",542,339112.0261,8119052.128
"543",543,339114.8442,8119051.189
"544",544,339114.8442,8119051.189
"545",545,339117.6624,8119050.25
"546",546,339117.6624,8119050.25
"547",547,339118.6017,8119049.31
"548",548,339118.6017,8119049.31
"549",549,339119.5411,8119048.371
"550",550,339119.5411,8119048.371
"551",551,339120.4805,8119047.432
"552",552,339120.4805,8119047.432
"553",553,339121.4199,8119046.492
"554",554,339121.4199,8119046.492
"555",555,339122.3592,8119045.553
"556",556,339122.3592,8119045.553
"557",557,339123.2986,8119044.613
"558",558,339123.2986,8119044.613
"559",559,339124.238,8119043.674
"560",560,339124.238,8119043.674
"561",561,339125.1774,8119042.735
"562",562,339125.1774,8119042.735
"563",563,339126.1167,8119041.795
"564",564,339126.1167,8119041.795
"565",565,339127.0561,8119040.856
"566",566,339127.0561,8119040.856
"567",567,339127.9955,8119039.917
"568",568,339127.9955,8119039.917
"569",569,339128.9349,8119038.977
"570",570,339128.9349,8119038.977
"571",571,339129.8742,8119038.038
"572",572,339129.8742,8119038.038
"573",573,339130.8136,8119037.098
"574",574,339130.8136,8119037.098
"575",575,339131.753,8119036.159
"576",576,339131.753,8119036.159
"577",577,339132.6924,8119035.22
"578",578,339132.6924,8119035.22
"579",579,339133.6318,8119034.28
"580",580,339133.6318,8119034.28
"581",581,339134.5711,8119033.341
"582",582,339134.5711,8119033.341
"583",583,339135.5105,8119032.402
"584",584,339135.5105,8119032.402
"585",585,339136.4499,8119031.462
"586",586,339136.4499,8119031.462
"587",587,339137.3893,8119030.523
"588",588,339137.3893,8119030.523
"589",589,339138.3286,8119029.583
"590",590,339138.3286,8119029.583
"591",591,339139.268,8119028.644
"592",592,339139.268,8119028.644
"593",593,339140.2074,8119027.705
"594",594,339140.2074,8119027.705
"595",595,339141.1468,8119026.765
"596",596,339141.1468,8119026.765
"597",597,339142.0861,8119025.826
"598",598,339142.0861,8119025.826
"599",599,339143.0255,8119024.887
